id,name,role,tags,what it tests,problem,step 1 action,step 1 tools,step 2 action,step 2 tools,step 3 action,step 3 tools,step 4 action,step 4 tools,step 5 action,step 5 tools,step 6 action,step 6 tools,step 7 action,step 7 tools,chat 1 handoff,chat 2a output,chat 2b keep,chat 3 context,retry 1,retry 2a,retry 2b,retry 3
brett,Brett Halloran,"Owner, three-van plumbing business",vague,"Vague and busy. Not evasive, just has never had to specify anything.","I spend my evenings answering customer emails and it eats my whole night, every night.",Read the day’s emails,Gmail,Write back to each one,Gmail,,,,,,,,,,,The emails. All of it really.,Just professional. Something that sounds like me but faster.,I mean I should probably check them.,Not really. Just do it right.,"Step 2, writing back. Mostly quotes and scheduling.","Short. Two or three sentences, friendly, no jargon.",Anything with a price in it. I want to see those before they go.,Never quote a price. Leave a blank for it and I will fill it in.
sofia,Sofia Marchetti,Marketing coordinator,vague | subjective,"Vague AND subjective - ""on brand"" is the whole spec in her head.",I write social captions for three channels every week and it takes forever to make them not sound the same.,Get the week’s content from the team,Slack,Write captions for each channel,Google Docs,Schedule them,Later,,,,,,,,,The writing. Obviously.,"On brand. You know, our voice.",Hmm. I guess anything sensitive?,Not that I can think of.,Step 2. I want first drafts for each channel that I can then cut down.,"Instagram under 125 characters, LinkedIn two short paragraphs, no hashtags anywhere. Never use an exclamation mark.",Anything about a customer story. Those need their approval and I handle that.,Never name a client unless I have put the name in the brief. No emoji in LinkedIn.
gerald,Gerald Whitmore,Independent insurance agent,vague,Vague and stays vague. Both pushbacks fail - the marked-prompt path.,The paperwork side of renewals takes up way more of my week than it should.,Pull the renewal list,AMS360,Prepare each renewal packet,Word,Mail or email it out,Outlook,,,,,,,,,The paperwork part.,Better than what I do now.,Not sure.,Nothing really comes to mind.,Honestly all the paperwork.,Just cleaner I guess.,I would have to think about it.,"No, nothing."
nadia,Nadia Hassan,Residential realtor,vague | subjective,"Vague, and the good answer is genuinely hard to articulate.",I write listing descriptions for every property and after ten years they all sound identical to me.,Walk the property and take notes,phone,Pull the specs from the MLS sheet,MLS,Write the description,MLS,,,,,,,,,The writing bit.,Something that actually sells the place.,I do not know really.,Just make it sound good.,Step 3. A first draft from my walkthrough notes and the specs.,"Under 200 words, no more than two adjectives in a row, leads with the thing that is actually unusual about the house.",Anything about the neighbourhood or schools. Fair housing rules and I will not risk it.,"Never mention schools, demographics, or who would like the house. Never say a square footage that is not on the MLS sheet."
julian,Julian Feldman,"Paralegal, litigation",contradiction | regulated,"Offers up the legal judgement in chat 1, pulls it back in chat 2.","I summarise deposition transcripts for the attorneys, about four a month, and each one is three hundred pages I have to boil down to two.",Read the transcript,Westlaw,Pull out the relevant testimony,Word,Write the summary memo,Word,Flag anything that contradicts an earlier deposition,Word,,,,,,,"All of it honestly. Especially step 4, contradiction spotting is just comparing two documents.","Two pages maximum, chronological, every point cited to a page and line number. No characterisation, just what was said.",Calling something a contradiction. That is a legal judgement and if I am wrong an attorney walks into a deposition with bad information.,"Never paraphrase testimony without the page and line cite. Never infer what a witness meant. If a passage is unclear, quote it and say it is unclear.",,,,
hana,Hana Kimura,Pharmacy technician,contradiction | regulated,Sweeping handoff on something with patient-safety consequences.,I prepare the daily med reconciliation lists for the pharmacist and I am transcribing the same fields off intake forms fifty times a day.,Pull the intake medication list,Epic,Cross-check against the current profile,Epic,Flag interactions and duplicates,Lexicomp,Build the reconciliation sheet for the pharmacist,Excel,,,,,,,"Everything. Step 3 especially, interaction checking is a lookup table.","One row per medication: name, dose, route, frequency, source. Anything that differs between the two lists highlighted. Nothing else.",The clinical call on whether an interaction actually matters for this patient. That is the pharmacist’s and I do not touch it.,"Never infer a dose that is not written down. Never expand an abbreviation you are not certain of - flag it. Never say a drug is safe or unsafe, only that the lists differ.",,,,
owen,Owen Fitzgerald,Commercial loan officer,contradiction | regulated,"Wants the approve/decline call automated, then admits it cannot be.",I write credit memos for every loan application and it is the same eight sections every time with different numbers in them.,Pull the financials and credit report,nCino,Calculate the ratios,Excel,Write the credit memo,Word,Recommend approve or decline,nCino,,,,,,,"The whole memo, and honestly step 4 too. The ratios tell you the answer.","Our eight-section memo, in order, ratios shown to two decimal places with the inputs beside them. Under three pages.",The recommendation. It goes to committee with my name on it and there is always something the ratios do not show.,"Never calculate a ratio from an incomplete statement - say MISSING. Never characterise the borrower. Never state a recommendation, only the figures.",,,,
margaret,Margaret Oyelaran,"Clinical therapist, private practice",keeps-all | regulated,"Wants to keep every step. Tests whether the activity can produce anything useful when the honest answer is ""not much"".","I write progress notes after every session, about twenty five a week, and it adds an hour to every day.",Write the session note,SimplePractice,Update the treatment plan if needed,SimplePractice,Submit for billing,SimplePractice,,,,,,,,,Honestly none of it. Every word of a progress note is clinical judgement and it is a legal record.,If it did anything it would just be the structure - our note format with the headings and nothing filled in.,"All of the content. Every observation, every intervention, every assessment.",Never write clinical content. Never infer a diagnosis. Never put anything in a note that I did not say happened.,,,,
desmond,Desmond Clarke,Investigative reporter,keeps-all,"Refuses the premise, sceptically. Tests the tone when the learner pushes back on the activity itself.",I spend a full day a week just organising interview notes and documents so I can find things later.,Transcribe interviews,Otter,Tag documents by source and topic,DEVONthink,Write the running chronology,Scrivener,,,,,,,,,"Step 2, the tagging. That is filing, not journalism. Nothing else.","Tags only. Source, date, topic, and whether it is on the record. No summaries, no interpretation.",Everything else. The chronology is where I work out what the story is and I am not outsourcing that.,"Never summarise a document. Never characterise a source. Never merge two sources into one entry. If a date is ambiguous, tag it unknown.",,,,
yuki,Yuki Tanaka,Veterinary practice manager,edge | clean,Almost no software. Tests what the tools field does when the honest answer is paper.,"Every morning I go through yesterday’s paper intake forms and type them into the system, about thirty forms.",Sort yesterday’s paper forms,paper,Type each into the record,ezyVet,File the paper copy,filing cabinet,,,,,,,,,"Step 2, the typing. It is transcription and I make mistakes when I rush it.","One record per form, our field order, exactly what is written on the form. Anything illegible marked, not guessed.",Anything in the notes field about the animal’s condition. If the vet wrote it I want to read it myself.,"Never expand an abbreviation. Never clean up a phone number, type what is written. If handwriting is unclear, write UNCLEAR and move on.",,,,
fabien,Fabien Roux,Logistics coordinator,edge | clean,Seven workflow steps. Tests the step builder and how a long list reads in the finished prompt.,"Every shipment I book goes through the same seven-step paper trail, and a full booking takes forty minutes of copying the same details between systems.",Take the booking request,email,Check carrier capacity,Freightos,Quote the customer,Excel,Book the carrier,carrier portal,Raise the customs paperwork,CustomsLink,Send the confirmation pack,Outlook,Log it in the ledger,SAP,"Step 6, the confirmation pack. Six documents that all say the same thing in different boxes.","The six standard documents, our field order, every reference number matching the booking exactly. No prose.","The customs classification. Get that wrong and it is my licence, not a delayed box.","Never invent an HS code. Never round a weight. Container numbers are four letters then seven digits, and if one does not match that, stop and flag it.",,,,
grace,Grace Ampofo,Freelance bookkeeper,edge | clean,"Only two workflow steps, the minimum the activity accepts.",Every month end I categorise about four hundred transactions across six clients and it is the same categories every time.,Pull the month’s transactions,Xero,Categorise each one,Xero,,,,,,,,,,,Step 2. Ninety percent of them are the same twenty vendors every month.,One line per transaction with a proposed category and a confidence level. Anything below high confidence goes in a separate list for me.,"Anything I have not seen before, and anything over five hundred pounds. Those I look at myself.","Never create a new category. Never split a transaction. If a vendor is new, put it in the review list rather than guessing.",,,,
ivan,Ivan Petrov,Research lab manager,edge,A very long problem statement. Tests how a wall of text renders and carries into the prompt.,"Every quarter I put together the compliance reporting pack for three funding bodies, and each one wants the same underlying information in a different structure with different terminology, so I end up rewriting the same fifteen facts three times over, plus there is a safety section that overlaps with our internal audit but not exactly, and the deadlines are two weeks apart which means I do it three times rather than once, and by the third one I have usually lost track of which version has the corrected headcount in it.",Gather the quarter’s figures,"Excel, LabArchives",Write each funder’s report,Word,Cross-check the three against each other,Word,Submit,funder portals,,,,,,,"Step 2, writing the three reports from one set of figures. Same facts, three structures.","Three documents, each in that funder’s section order and their terminology. Every figure identical across all three. No narrative beyond what each section asks for.","The safety section. That has my signature on it and I write it once, carefully, myself.","Never let a figure differ between the three reports. If a figure is provisional, say so in every report it appears in. Never use one funder’s terminology in another’s document.",,,,
bilal,Bilal Karim,IT support technician,edge,"Terse throughout, but genuinely specific. Tests whether the vagueness check fires on brevity alone.","I write up ticket resolutions at the end of every day. Thirty tickets, the same six sentence shapes.",Review the day’s closed tickets,Jira,Write the resolution note,Jira,,,,,,,,,,,Step 2. Draft note per ticket.,"Four lines: symptom, cause, fix, prevention. Under 60 words. No jargon.",Root cause when it is a guess. I mark those myself.,Never state a cause the ticket does not evidence. Asset tags are six digits. A missing field means MISSING.,,,,
rosa,Rosa Jiménez,Community college advisor,edge,Answers questions with questions. Tests what happens when the learner will not commit.,"I write degree audit summaries for students, about forty a term, explaining what they still need in order to graduate.",Run the degree audit,Banner,Work out what is still outstanding,Banner,Write the summary for the student,Outlook,,,,,,,,,What would you suggest? Probably the writing?,What does a good one usually look like for something like this?,What do most people keep?,Is there anything I should be worried about here?,"Step 3 then. The summary email, from the audit output.","Plain language, under 200 words, a bulleted list of what is left and how many credits each one is.","Any advice about what to take next term. That is a conversation, not an email.","Never tell a student they will graduate on a date. Never mention financial aid. If the audit has an exception on it, say to come and see me."
simone,Simone Aubert,Museum exhibit copywriter,subjective,Craft work where good is genuinely contested. Tests whether an output spec can carry taste.,"I write wall labels for every object in a show, two hundred labels, and each one has to say the same kind of thing in fifty words.",Read the curator’s object notes,Google Docs,Check the object record,TMS,Write the label,Google Docs,Send to the curator for review,Google Docs,,,,,,,"Step 3, a first draft of each label from the curator notes and the object record.","Exactly fifty words. One idea per label. No art-historical jargon, no masterpiece, no rhetorical questions. Present tense.","The opening sentence. That is what a visitor reads in the two seconds they give me, and I write those.","Never state a date or attribution that is not in the object record. If the record says attributed to, the label must say it too. Never describe what the artist was feeling.",,,,
theo,Theo Nkemelu,Podcast producer,subjective | clean,"Creative-adjacent, but with a hard format spec.","Every episode needs show notes, timestamps and three social pull-quotes, and it takes me longer than the edit does.",Get the transcript,Descript,Write the episode summary,Notion,Timestamp the chapters,Descript,Pull three quotes for social,Notion,,,,,,,"Steps 2 and 4, the summary and the quote pulls. Timestamps I do while editing anyway.","Summary under 120 words in second person. Three quotes, each under 25 words, verbatim from the transcript with a timestamp.",Which quotes actually go out. The best line for the show is not always the best line in the episode.,"Quotes must be word for word, never tidied up. Never quote the ad read. If a guest asked for something off the record it is not in the transcript, so never fill gaps.",,,,
bridget,Bridget Nolan,Grant programme reviewer,subjective | regulated,Evaluative writing where consistency between reviewers is the whole point.,I score about sixty applications a round and write a scoring narrative for each one against five criteria.,Read the application,Submittable,Score against the five criteria,rubric,Write the narrative for each score,Submittable,Submit the review,Submittable,,,,,,,"Step 3, the narrative. The score is mine, but writing out why in the house style takes as long as reading the thing.","One paragraph per criterion, 60 to 80 words, quoting the application where it evidences the score. Neutral tone, no praise language.",The scores themselves. Every one of them.,"Never suggest a score. Never compare one applicant to another. Only quote what is in the application, and if a criterion is not addressed, say it is not addressed.",,,,
anders,Anders Lindqvist,Aircraft maintenance planner,regulated | clean,Airworthiness records. The strictest guardrails in the set.,"Every check I plan generates the same work package paperwork, and I spend a day and a half transcribing task numbers between three systems.",Pull the due tasks,AMOS,Build the work package,AMOS,Cross-check against the maintenance programme,PDF,Issue to the hangar,AMOS,,,,,,,"Step 2, building the package from the due list. It is assembly, not engineering judgement.","One line per task: task number, revision, zone, estimated hours, required qualification. In task number order. Nothing else.",Anything involving a deferral. Deferring a task is a signed engineering decision and it is mine.,"Never transcribe a task number without its revision letter. Never combine two tasks. If the programme revision does not match the task revision, stop and flag it rather than resolving it.",,,,
cheryl,Cheryl Boateng,Child welfare case worker,regulated | keeps-all,"The highest-stakes case in the set, where the right answer is that most of it stays human.","I write court report summaries for every case going to review, about twelve a month, and each one pulls from six months of case notes.",Review the case notes,SACWIS,Pull the chronology of contacts,SACWIS,Write the summary,Word,File with the court,court portal,,,,,,,"Step 2, the chronology. Dates, contact type, who was present. It is extraction from what I already wrote.","A table: date, contact type, participants, whether it was announced. Chronological. No narrative, no summary of what happened.","Every word of the assessment. What the contacts mean for this child is the entire job, and it goes to a judge under my name.","Never characterise a contact. Never infer why a visit did not happen. Use initials, never full names of children. If a note is missing for a scheduled contact, show the gap rather than closing it.",,,,
